source_event_id,event_name,market_prob_away_raw,market_prob_draw_raw,market_prob_home_raw,away_odds_mean,draw_odds_mean,home_odds_mean,event_start_ts_utc,target,overround,market_prob_home,market_prob_draw,market_prob_away,market_prob_mean,market_prob_std,feature_stub,pred_prob_class_1,edge,signal,pnl_unit,cum_pnl_unit
2223:451:Aldershot:Gateshead,Aldershot vs Gateshead,0.4347826086956522,0.30303030303030304,0.3802281368821293,2.3,3.3,2.63,2023-03-25 00:00:00+00:00,0,1.1180410486080845,0.3400842369387938,0.2710368312572811,0.38887893180392513,0.3400842369387938,0.05921039765048875,0.698090692124105,0.3096430190686465,-0.030441217870147308,0,-0.0,8.556113010466666
2223:452:Altrincham:Southend,Altrincham vs Southend,0.4081632653061224,0.3125,0.3921568627450981,2.45,3.2,2.55,2023-03-25 00:00:00+00:00,1,1.1128201280512204,0.35239914597145755,0.2808180694460052,0.3667827845825373,0.35239914597145755,0.04604467364191348,0.6983293556085919,0.41473517989569775,0.0623360339242402,1,1.8376913265306114,10.393804336997277
2223:453:Boreham Wood:Eastleigh,Boreham Wood vs Eastleigh,0.2777777777777778,0.2857142857142857,0.5464480874316939,3.6,3.5,1.83,2023-03-25 00:00:00+00:00,0,1.1099401509237574,0.49232211932950415,0.2574141366779979,0.25026374399249796,0.49232211932950415,0.13773473629876876,0.6985680190930788,0.5576660343062283,0.06534391497672415,1,-1.0,9.393804336997277
2223:454:Chesterfield:Halifax,Chesterfield vs Halifax,0.19047619047619047,0.25,0.6666666666666666,5.25,4.0,1.5,2023-03-25 00:00:00+00:00,1,1.1071428571428572,0.6021505376344085,0.22580645161290322,0.17204301075268816,0.6021505376344085,0.23434940556670286,0.6988066825775656,0.6210339534369135,0.018883415802504966,0,0.0,9.393804336997277
2223:462:Yeovil:Bromley,Yeovil vs Bromley,0.4444444444444444,0.3225806451612903,0.3472222222222222,2.25,3.1,2.88,2023-03-25 00:00:00+00:00,0,1.114247311827957,0.31162042621632485,0.2895054282267792,0.3988741455568958,0.31162042621632485,0.0578270424128073,0.7009546539379475,0.28825057413773386,-0.02336985207859099,0,-0.0,9.393804336997277
2223:461:Wrexham:York,Wrexham vs York,0.10526315789473684,0.2,0.8,9.5,5.0,1.25,2023-03-25 00:00:00+00:00,1,1.1052631578947367,0.7238095238095239,0.18095238095238098,0.09523809523809525,0.7238095238095239,0.34086724129853874,0.7007159904534607,0.6736110769887639,-0.05019844682076002,0,0.0,9.393804336997277
2223:460:Wealdstone:Barnet,Wealdstone vs Barnet,0.48780487804878053,0.29411764705882354,0.3448275862068966,2.05,3.4,2.9,2023-03-25 00:00:00+00:00,0,1.1267501113145006,0.30603732162458835,0.2610318331503842,0.43293084522502745,0.30603732162458835,0.08914102186682932,0.7004773269689738,0.21057228366154,-0.09546503796304837,0,-0.0,9.393804336997277
2223:455:Dorking:Maidenhead,Dorking vs Maidenhead,0.4444444444444444,0.29411764705882354,0.3802281368821293,2.25,3.4,2.63,2023-03-25 00:00:00+00:00,1,1.1187902283853972,0.33985650503120907,0.26288900242119995,0.397254492547591,0.33985650503120907,0.06741984174541125,0.6990453460620525,0.26964791118708514,-0.07020859384412392,0,0.0,9.393804336997277
2223:456:Maidstone:Woking,Maidstone vs Woking,0.6666666666666666,0.26666666666666666,0.19047619047619047,1.5,3.75,5.25,2023-03-25 00:00:00+00:00,0,1.1238095238095238,0.1694915254237288,0.23728813559322035,0.5932203389830508,0.1694915254237288,0.2276071986269343,0.6992840095465394,0.08136424600899489,-0.08812727941473392,0,-0.0,9.393804336997277
2223:457:Notts County:Scunthorpe,Notts County vs Scunthorpe,0.1,0.17391304347826086,0.8333333333333334,10.0,5.75,1.2,2023-03-25 00:00:00+00:00,1,1.1072463768115943,0.7526178010471204,0.1570680628272251,0.09031413612565445,0.7526178010471204,0.3646417698674207,0.6995226730310262,0.6205591817528706,-0.13205861929424978,0,0.0,9.393804336997277
2223:471:York:Scunthorpe,York vs Scunthorpe,0.29411764705882354,0.30303030303030304,0.46511627906976744,3.4,3.3,2.15,2023-03-28 00:00:00+00:00,0,1.062264229158894,0.43785365853658537,0.28526829268292686,0.27687804878048783,0.43785365853658537,0.09061441846434139,0.7033412887828162,0.49300654333631033,0.055152884799724966,1,-1.0,8.393804336997277
2223:465:Dorking:Southend,Dorking vs Southend,0.48780487804878053,0.29411764705882354,0.2777777777777778,2.05,3.4,3.6,2023-03-28 00:00:00+00:00,1,1.0597003028853818,0.2621286197818729,0.2775479503572772,0.46032342986085,0.2621286197818729,0.11024655278465352,0.7016706443914081,0.22337969852760617,-0.03874892125426674,0,0.0,8.393804336997277
2223:469:Wealdstone:Oldham,Wealdstone vs Oldham,0.3921568627450981,0.29411764705882354,0.37037037037037035,2.55,3.4,2.7,2023-03-28 00:00:00+00:00,0,1.056644880174292,0.35051546391752575,0.27835051546391754,0.3711340206185567,0.35051546391752575,0.04871974872425369,0.7026252983293556,0.38785898234117,0.03734351842364425,1,-1.0,7.3938043369972775
2223:463:Altrincham:Notts County,Altrincham vs Notts County,0.7142857142857143,0.23094688221709006,0.125,1.4,4.33,8.0,2023-03-28 00:00:00+00:00,0,1.0702325965028043,0.11679704057647104,0.21579129898655158,0.6674116604369774,0.11679704057647104,0.2935237848621769,0.7011933174224344,0.07101710559056704,-0.045779934985904006,0,-0.0,7.3938043369972775
2223:468:Maidstone:Bromley,Maidstone vs Bromley,0.5405405405405405,0.2857142857142857,0.25,1.85,3.5,4.0,2023-03-28 00:00:00+00:00,0,1.0762548262548262,0.2322869955156951,0.26547085201793724,0.5022421524663677,0.2322869955156951,0.14721730186624613,0.7023866348448687,0.222509947067788,-0.009777048447907083,0,-0.0,7.3938043369972775
2223:467:Halifax:Aldershot,Halifax vs Aldershot,0.2631578947368421,0.30303030303030304,0.5,3.8,3.3,2.0,2023-03-28 00:00:00+00:00,1,1.066188197767145,0.4689603590127151,0.2842183994016455,0.2468212415856395,0.4689603590127151,0.11893550531340744,0.7021479713603819,0.4665420539806245,-0.0024183050320906174,0,0.0,7.3938043369972775
2223:466:Gateshead:Dag and Red,Gateshead vs Dag and Red,0.2631578947368421,0.2857142857142857,0.5235602094240838,3.8,3.5,1.91,2023-03-28 00:00:00+00:00,1,1.0724323898752115,0.4881988033623316,0.26641706126344383,0.24538413537422457,0.4881988033623316,0.1345291096690314,0.701909307875895,0.6004655166714881,0.11226671330915644,1,1.0483458646616541,8.442150201658931
